26년 6월 MTD 매장별 Trend - 브랜드별 실적 정리,,,,,,,,,,,,
기간: 2026.06.01~2026.06.14 vs 2025.06.01~2025.06.15 (단위: 원  %),,,,,,,,,,,,
,,,,,,,,,,,,
▶ 브랜드 합계,,,,,,,,,,,,
브랜드,FY26 매출액,FY25 매출액,발생금액 편차,전년비(%),재료비 FY26(%),재료비 FY25(%),재료비 편차(%p),인건비 FY26(%),인건비 FY25(%),인건비 편차(%p)
전체 합계,1165652943,1257678933,-92025990,-7.3%,-26.1%,-25.6%,-0.5%,-26.7%,-26.5%,-0.3%
AGRA 합계,848206730,898534519,-50327789,-5.6%,-26.3%,-22.8%,-3.5%,-25.0%,-24.0%,-1.1%
NOYA 합계,253599414,297594408,-43994994,-14.8%,-24.9%,-32.8%,7.9%,-28.5%,-31.0%,2.5%
Dual 합계,51745033,61550006,-9804973,-15.9%,-28.4%,-32.6%,4.2%,-48.9%,-40.9%,-8.0%
Pantry 합계,12101766,-(신규),-(신규),신규,-25.1%,-,-,-13.9%,-,-
,,,,,,,,,,,,
▶ AGRA 매장별,,,,,,,,,,,,
브랜드,매장명,FY26 매출액,FY25 매출액,발생금액 편차,전년비(%),재료비 FY26(%),재료비 FY25(%),재료비 편차(%p),인건비 FY26(%),인건비 FY25(%),인건비 편차(%p)
AGRA,AG잠실에비뉴엘점,85596104,87438041,-1841937,-2.1%,-19.5%,-16.5%,-3.0%,-21.6%,-23.2%,1.6%
AGRA,AG잠실롯데백화점,33031807,41209950,-8178143,-19.8%,-27.3%,-22.7%,-4.6%,-22.6%,-20.1%,-2.5%
AGRA,AG김포점,46151886,69807120,-23655234,-33.9%,-28.2%,-23.4%,-4.8%,-26.5%,-15.5%,-11.0%
AGRA,AG용산점,68378585,76399096,-8020511,-10.5%,-23.0%,-24.0%,1.0%,-23.3%,-20.9%,-2.4%
AGRA,AG강남롯데백화점,25091781,27497156,-2405375,-8.7%,-23.9%,-21.6%,-2.3%,-26.9%,-24.8%,-2.1%
AGRA,AG코엑스점,96922145,92116821,4805324,5.2%,-28.1%,-24.5%,-3.6%,-20.8%,-25.1%,4.3%
AGRA,AG노원점,23870957,26151452,-2280495,-8.7%,-28.7%,-26.2%,-2.5%,-36.3%,-31.2%,-5.1%
AGRA,AG센텀시티점,63580746,60846805,2733941,4.5%,-29.2%,-21.6%,-7.6%,-25.1%,-24.0%,-1.1%
AGRA,AG대전점,79120614,80547378,-1426764,-1.8%,-26.2%,-23.3%,-2.9%,-21.3%,-23.7%,2.4%
AGRA,AG의왕점,39786527,52940327,-13153800,-24.8%,-27.4%,-23.5%,-3.9%,-28.1%,-23.3%,-4.8%
AGRA,AG대구신세계점,26463749,32400136,-5936387,-18.3%,-27.4%,-20.3%,-7.1%,-31.2%,-29.9%,-1.3%
AGRA,AG평촌점,22303105,26533404,-4230299,-15.9%,-22.2%,-23.5%,1.3%,-26.6%,-28.1%,1.5%
AGRA,AG고척점,14725419,19502450,-4777031,-24.5%,-22.9%,-30.3%,7.4%,-33.3%,-31.2%,-2.1%
